,Canonical_smiles,Murcko,ClassB,No
4498,O=S1(=O)CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,O=S1(=O)CCC(C2NC(c3nc(-c4ccccc4)c[nH]3)Cc3c2[nH]c2ccccc32)CC1,1,5739
2972,CC(N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccccc4C,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1,1,7980
1201,Cc1[nH]nc2c3cc(C4CCCCC4)c(cc3N(C[C@H](F)CN)C(=O)c12)C5CCCCC5,O=c1[nH]c2cc(C3CCCCC3)c(C3CCCCC3)cc2c2n[nH]cc12,0,4580
602,CC(=O)N1N=C(C[C@H]1c2cccc(O)c2)c3cc(F)ccc3F,c1ccc(C2=NNC(c3ccccc3)C2)cc1,0,2612
6446,Fc1cnc2ccc(nc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)N7CCOCC7,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(N7CCOCC7)nc56)(CC3)OC4)nc2N1,1,5965
2698,CC(=O)N1CCC(CC1)c2[nH]nc(c3ccc(F)cc3)c2c4ccncc4,c1ccc(-c2n[nH]c(C3CCNCC3)c2-c2ccncc2)cc1,1,6312
3950,COc1cccc(c1)C(=O)CN2C(=O)N(C)c3c(C#N)c(N4CCC[C@H](N)C4)n(Cc5ccccc5)c3C2=O,O=C(Cn1c(=O)[nH]c2cc(N3CCCCC3)n(Cc3ccccc3)c2c1=O)c1ccccc1,1,5675
5509,CCCN1C(=O)CC2(CCN(CC3CCN(CC3)C(=O)OCC)CC2)c4cccnc14,O=C1CC2(CCN(CC3CCNCC3)CC2)c2cccnc2N1,1,6434
6319,O[C@@]1(CC23CCC(CC2)(CO3)NCc4ccc5OCC(=O)Nc5n4)CN6C(=O)C=Cc7nc(Cl)c(F)c1c67,O=C1COc2ccc(CNC34CCC(CC5Cn6c(=O)ccc7nccc5c76)(CC3)OC4)nc2N1,0,4316
481,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C,c1ccc2c(c1)CCC(CCNCCCc1nc3ccccc3[nH]1)C2,1,7319
7821,Cl.Cl.CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)C(C)C)CC2)c3ncccc3c1,c1cnc2c(OC3CCNCC3)cccc2c1,1,4237
241,N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O,c1ccccc1,0,1579
6256,C[C@@H]1CN(CCN1c2ncc(OCc3ccc(cc3F)C#N)cn2)c4oc(nn4)C(F)(F)F,c1ccc(COc2cnc(N3CCN(c4nnco4)CC3)nc2)cc1,0,7613
1094,O=C1[C@H](CCN1Cc2ccccc2)N(Cc3cccnc3)Cc4cncn4Cc5ccc(cc5)C#N,O=C1C(N(Cc2cccnc2)Cc2cncn2Cc2ccccc2)CCN1Cc1ccccc1,1,5568
2682,C[C@@H](c1ncccc1F)c2c(CCN(C)C)sc3ccccc23,c1ccc(Cc2csc3ccccc23)nc1,1,495
4431,CC1(C)N(CCn2c(Nc3ccc(F)cc3)c(nc12)c4ccc(F)cc4)C(=O)CN,c1ccc(Nc2c(-c3ccccc3)nc3n2CCNC3)cc1,0,4843
7558,Cc1onc(C)c1S(=O)(=O)NCCCN2CC3CN(CCCOc4ccc(cc4)C#N)CC(C2)O3,O=S(=O)(NCCCN1CC2CN(CCCOc3ccccc3)CC(C1)O2)c1cnoc1,0,1641
2183,CC1(C)[C@@H]2CC[C@]13CCN(CCN4CCN(C4=O)c5cccc(Cl)c5)C3C2,O=C1N(CCN2CCC34CCC(CC23)C4)CCN1c1ccccc1,1,7271
1679,FC(F)(F)c1ccc(cc1)C2=CC3(CCNCC3)Oc4ccccc24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1,5763
5530,COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCC(CC4)N(C)C,c1ccc(Nc2cnnc3ccc(N4CCCCC4)cc23)cc1,0,473
1533,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCC4CCN(CC4)C(C)C)C#N,c1nc(NCC2CCC3(CCC3)CC2)cc(OCC2CCNCC2)n1,1,1449
6400,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)C4CC34,O=C1NN=C(c2ccc(OCCCN3CCCC3)cc2)C2CC12,0,1317
2493,CN1c2nc(c(cc2C(CC1(C)C)C(=O)NCO)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,c1ccc(-c2cc3c(nc2-c2ccccc2)NCCC3)cc1,1,191
5367,C[C@H]1COCCN1c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5ccc6N=CNC(=O)c6c5,O=c1[nH]cnc2ccc(-c3ccc4c(N5CCOCC5)nc(N5CCOCC5)nc4n3)cc12,0,3127
3080,N(c1ccccc1)c2ccc(Nc3ccccc3)cc2,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,0,1265
1115,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc3cc(F)ccc3F)cc1)C(=O)O.OC(=O)C(F)(F)F,O=C(NCc1ccccc1)C1CCCN1C(=O)CCCc1ccccc1,0,4168
6309,O[C@]1(CC23CCC(CC2)(CO3)NCc4ccc5OCC(=O)Nc5n4)CN6C(=O)CCc7ncc(F)c1c67,O=C1COc2ccc(CNC34CCC(CC5CN6C(=O)CCc7nccc5c76)(CC3)OC4)nc2N1,0,7145
6282,Cc1ccc(cc1)c2nc(C)c(Cl)c(OCCCN3CCCCC3)n2,c1ccc(-c2nccc(OCCCN3CCCCC3)n2)cc1,1,943
5182,Clc1ccc(OCCCc2cccc(CCCOc3ccc(Cl)cc3)n2)cc1,c1ccc(OCCCc2cccc(CCCOc3ccccc3)n2)cc1,1,2889
5819,Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2,O=C(Nc1cccc(NC(=O)c2ccccc2)c1)c1ccccc1,0,6151
7343,Cc1ccnc2c3CN(Cc3nn12)[C@H]4CO[C@@H]([C@@H](N)C4)c5cc(F)ccc5F,c1ccc(C2CCC(N3Cc4nn5cccnc5c4C3)CO2)cc1,0,2258
3898,CCOC(=O)Nc1cccc(c1)[C@H](N2CCN(Cc3nc[nH]c3C)CC2)c4ccc(cc4)C(=O)N(C)CC,c1ccc(C(c2ccccc2)N2CCN(Cc3c[nH]cn3)CC2)cc1,0,6826
4194,NS(=O)(=O)c1ccc(OCCCN2CCCCC2)cc1,c1ccc(OCCCN2CCCCC2)cc1,0,2093
1599,[O-][n+]1cccc(c1)C#Cc2cccc(c2)N3C=C(C(=O)NC4CC4)C(=O)c5cccnc35,O=C(NC1CC1)c1cn(-c2cccc(C#Cc3ccc[nH+]c3)c2)c2ncccc2c1=O,0,1074
3925,CCN(CC)C(=O)c1ccc(cc1)C(=C2CCN(Cc3ccc(F)cc3)CC2)c4ccc(NC(=O)OC)cc4,c1ccc(CN2CCC(=C(c3ccccc3)c3ccccc3)CC2)cc1,1,609
821,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(C5CCCC5)n4C)CCc3c2,c1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(C4CCCC4)[nH]2)CC3)no1,1,7411
1847,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)C(O)CNC(C)(C)C,c1ccccc1,0,3681
2969,CC(N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccc(C)s4,c1ccc(OC2CC3CCC(C2)N3Cc2cccs2)cc1,1,3471
3067,CC(C)S(=O)(=O)N[C@H]1CN(C[C@@H]1c2ccc(cc2)c3ccc(cc3)C#N)c4ccccc4,c1ccc(-c2ccc(C3CCN(c4ccccc4)C3)cc2)cc1,1,4116
1839,OC(c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3c4ccc(cc4)C(F)(F)F)C(F)(F)F)C(F)(F)F,O=C(C1CC1c1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,1,104
2561,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)N5CCCCC5,c1cc2nc(-c3ccc(N4CCCCC4)cc3)ccc2cc1CCN1CCCC1,1,8283
1231,COc1cccc(c1)C2CCN(CC2)[C@@H]3CC[C@](C3)(C(C)C)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,O=C(NCc1ccccc1)C1CCC(N2CCC(c3ccccc3)CC2)C1,1,7494
4286,COc1c(cc(cc1C(C)(C)C)C(=O)N2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)C(C)(C)C,O=C(c1ccccc1)N1CCN(CCCCCC(c2ccccc2)c2ccccc2)CC1,1,4933
5184,Cc1ccc(OCc2cccc(COc3ccc(C)cc3)[n+]2C)cc1,c1ccc(OCc2cccc(COc3ccccc3)[nH+]2)cc1,1,4364
3155,NCC[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1,c1ccc(C2CCCc3ccccc32)cc1,0,1092
2164,N[C@H]1Cn2c(C[C@@H]1c3cc(F)c(F)cc3F)nc4cnccc24.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F,c1ccc(C2CCn3c(nc4cnccc43)C2)cc1,0,6585
