,Canonical_smiles,Murcko,ClassA,No
6380,Clc1ccc(c(Cl)c1)n2cc(NCCN3CCCCC3)nn2,c1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1,0,5397
7244,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CCCC5)cc4,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CCCC3)cc2)C1,0,6408
4302,CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(=O)NC[C@H]2CCN(C2)C(=O)CCCCC(c3ccc(F)cc3)c4ccc(F)cc4,O=C(NCC1CCN(C(=O)CCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1,0,4216
4303,CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(=O)NC[C@@H]2CCN(C2)C(=O)CCCCC(c3ccc(F)cc3)c4ccc(F)cc4,O=C(NCC1CCN(C(=O)CCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1,0,5107
7429,COc1ccc2[nH]c3CN4CCc5cc6OCOc6cc5[C@@H]4Cc3c2c1,c1ccc2c3c([nH]c2c1)CN1CCc2cc4c(cc2C1C3)OCO4,0,1204
6461,COc1cc(OC)c2nccc(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,5453
1132,COc1nc2ccc(Br)cc2cc1[C@@H](c3ccccc3)[C@@](O)(CCN(C)C)c4cccc5ccccc45,c1ccc(C(Cc2cccc3ccccc23)c2cnc3ccccc3c2)cc1,1,664
2537,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc5ncnn5c4C,c1nc2sc(-c3ccc4cc(CCN5CCCC5)ccc4n3)cn2n1,1,7281
2511,Fc1ccccc1C(Cc2ccccc2OC(F)(F)F)N3CCNCC3,c1ccc(CC(c2ccccc2)N2CCNCC2)cc1,1,263
4002,CC(C)N1CCC[C@H](CN2C(=Nc3ccc(Oc4ccc(F)c5cccnc45)nc3C2=O)C)C1,O=c1c2nc(Oc3cccc4cccnc34)ccc2ncn1CC1CCCNC1,1,2950
6452,Fc1cnc2cc(cnc2c1CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)C(F)(F)F,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,513
5444,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(C[C@@H]3C(=O)O)C4CC(C4)c5ccccc5)c2c1,c1ccc(C2CC(N3CCC(CCCc4ccnc5ccccc45)CC3)C2)cc1,0,1529
6699,OCCOc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,0,3728
1024,CC(C)N1Cc2cc3CCN(CCc3cc2C1=O)C(C)CCSc4nnc(c5cccc6nc(C)ccc56)n4C,O=C1NCc2cc3c(cc21)CCN(CCCSc1nnc(-c2cccc4ncccc24)[nH]1)CC3,0,7295
819,Cc1onc(c1)c2ccc3CCN(CCCSc4nnc(c5ccc6nc(C)c(C)nc6c5)n4C)CCc3c2,c1cnc2cc(-c3nnc(SCCCN4CCc5ccc(-c6ccon6)cc5CC4)[nH]3)ccc2n1,1,3041
4345,Clc1ccc(NC(=O)N2CCN(C[C@H]3CN(CCO3)C4CC4)CC2)cc1Cl,O=C(Nc1ccccc1)N1CCN(CC2CN(C3CC3)CCO2)CC1,0,3302
5161,Clc1ccc(cc1Cl)[C@H]2CNCC=CC2,C1=CCC(c2ccccc2)CNC1,0,2241
8076,CCOC(=O)[C@H]1[C@H](CC2CCC1N2CCc3c[nH]c4ccccc34)OC(c5ccc(F)cc5)c6ccc(F)cc6,c1ccc(C(OC2CC3CCC(C2)N3CCc2c[nH]c3ccccc23)c2ccccc2)cc1,0,4655
268,CCN(CC)CCOc1ccc(cc1)\C(=C(\Cl)/c2ccccc2)\c3ccccc3,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,0,2970
4895,COCc1ccc(CCN2CCC(COc3nc4ccccc4c5cn(C)cc35)CC2)cc1,c1ccc(CCN2CCC(COc3nc4ccccc4c4c[nH]cc34)CC2)cc1,1,4389
7421,FC(F)CN1C(=O)Oc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@@H]4CNCCCO4)C#N)cc3,O=C(NCCc1ccc(-c2ccc3oc(=O)[nH]c3c2)cc1)C1CNCCCO1,0,7998
255,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,c1ccc(-c2ccccc2)cc1,0,3665
2578,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnccn4,c1cnc(-c2ccc3cc(CCN4CCCC4)ccc3n2)cn1,0,2381
5918,CCOC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccc(C)cn4,O=C(COc1ncnc2c1cnn2-c1ccccn1)Nc1ccccn1,0,7930
5016,Cc1nn(C)cc1c2nc3c(N4CCN(Cc5ccc(Cl)cc5)CC4)c(Cl)cnc3[nH]2,c1ccc(CN2CCN(c3ccnc4[nH]c(-c5cn[nH]c5)nc34)CC2)cc1,0,7354
1395,Clc1ccc(cc1)N2C=C(C(=O)Nc3c(Cl)cncc3Cl)C(=O)c4cccnc24,O=C(Nc1ccncc1)c1cn(-c2ccccc2)c2ncccc2c1=O,1,3064
1701,CCN(CC)C(=O)c1ccc(cc1)C2=CC3(CCN(C)CC3)Oc4ccccc24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1,4554
370,COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1c2ccc(F)cc2)C(C)C,c1ccc(-c2ccncc2)cc1,0,4274
7067,CO[C@@H]1CN(CCC(=O)N2CCCC2)CC[C@@H]1NC(=O)c3cc(Cl)c(N)cc3OC,O=C(NC1CCN(CCC(=O)N2CCCC2)CC1)c1ccccc1,0,1728
3845,COc1ccc(cc1)N(Cc2cnccc2C)C3CCN(CC3)[C@H](C)CCNC(=O)c4c(C)cc(Cl)nc4C,O=C(NCCCN1CCC(N(Cc2cccnc2)c2ccccc2)CC1)c1cccnc1,1,3605
7287,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN(C)C)c(F)c4,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccccc2)C1,0,2048
7278,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CCCOCC5)cc4,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CCCOCC3)cc2)C1,0,7486
6285,Cc1nc(nc(OCCCN2CCCCC2)c1Cl)c3ccc(F)c(F)c3,c1ccc(-c2nccc(OCCCN3CCCCC3)n2)cc1,0,2145
621,Clc1cc2OC(=CC(=O)c2cc1Cl)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,1,3993
895,CCN1CCN(Cc2cnc(c(C)c2)c3ccc(cc3)C(=O)Nc4ccccc4N)CC1,O=C(Nc1ccccc1)c1ccc(-c2ccc(CN3CCNCC3)cn2)cc1,0,3515
7611,COc1c2CCCC(Cc2ccc1Nc3ncc(Cl)c(Nc4ccccc4n5cccn5)n3)N6CCN(CCO)CC6,c1ccc(-n2cccn2)c(Nc2ccnc(Nc3ccc4c(c3)CCCC(N3CCNCC3)C4)n2)c1,0,6973
2455,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4C[C@@H]5C[C@@]5(C4)c6ccc(Br)cc6)n3C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cccc5ncccc45)[nH]2)C3)cc1,1,6802
2926,C[C@@H](N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccc(C)s4,c1ccc(OC2CC3CCC(C2)N3Cc2cccs2)cc1,1,2225
2085,O=C1N(CCN2Cc3ccccc3C2)CCN1c4ccc5occc5c4,O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc2occc2c1,0,4803
576,CCN(CC)CCOc1ccc(cc1)\C(=C(/Cl)\c2ccccc2)\c3ccccc3,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,1,5260
4360,Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)c5sc(C)nc5C)c6cc(O)ncn6,O=C1N(c2ccc(-c3cncs3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1,1,3095
3130,COc1cc(\C=C\c2nc(N)c3c(oc4ccccc34)n2)ccc1n5cnc(C)c5,C(=Cc1ncc2c(n1)oc1ccccc12)c1ccc(-n2ccnc2)cc1,1,196
2608,COc1ccc(Cn2c(nc3ccccc23)N4CC[C@H](C4)N(C)C)cc1,c1ccc(Cn2c(N3CCCC3)nc3ccccc32)cc1,1,4063
1236,CCc1nc2ccc3CCN(CCCSc4nnc(c5ocnc5C)n4C)CCc3c2s1,c1ncc(-c2nnc(SCCCN3CCc4ccc5ncsc5c4CC3)[nH]2)o1,0,7357
5895,COc1ccc(cc1)N2C(c3ccccc3OC)C(C)(C)C2=O,O=C1CC(c2ccccc2)N1c1ccccc1,0,3467
1079,CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4,O=C(CCCN1CCC(OC(c2ccccc2)c2ccccc2)CC1)c1ccccc1,1,4220
1681,CCN(CCc1ccc(Cl)c(Cl)c1)C[C@H](O)COc2ccc(NS(=O)(=O)C)cc2,c1ccc(CCNCCCOc2ccccc2)cc1,1,3194
6463,Cc1nc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)ccnc2cc1C#N,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,774
1426,CNCc1ccc(Cl)cc1Oc2ccc(Cl)cc2,c1ccc(Oc2ccccc2)cc1,1,7720
4096,COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)C4CC(CCNC4=O)C5CCCCC5,O=C1NCCC(C2CCCCC2)CC1n1cc(-c2ccc(-n3ccnc3)cc2)nn1,0,4426
3759,CC(C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc4CN(CC(=O)N[C@@H](C)CO)CCc4c3C,c1ccc(-c2nc(-c3ccc4c(c3)CCNC4)no2)cc1,0,2226
788,C[C@H]1CCCN1CCCOc2ccc(cc2)N3CCN(CC3=O)C(=O)c4ccc(F)cc4.OC=O,O=C(c1ccccc1)N1CCN(c2ccc(OCCCN3CCCC3)cc2)C(=O)C1,0,797
5186,Cc1ccc(CCOCc2cccc(COCCc3ccc(C)cc3)[n+]2C)cc1,c1ccc(CCOCc2cccc(COCCc3ccccc3)[nH+]2)cc1,1,2789
4492,CCOCC1(COCC)N[C@H](Cc2c1[nH]c3ccccc23)c4nc(c[nH]4)c5ccccc5,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)CN3)n2)cc1,1,6384
216,Cc1cc(c(O)c(C)c1CC2=NCCN2)C(C)(C)C,c1ccc(CC2=NCCN2)cc1,0,3166
1008,COc1ccccc1Oc2ccccc2CN3CCC4(CC3)CCN(CC4)C(=O)c5ccccn5,O=C(c1ccccn1)N1CCC2(CCN(Cc3ccccc3Oc3ccccc3)CC2)CC1,1,6647
4815,NC(=O)c1ccn(c1)c2cccc(OC(=O)NCCCCCCCCCC#C)c2,c1ccc(-n2cccc2)cc1,0,3381
1257,COc1ccccc1Oc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ccc(Cl)cc5)c2,O=C(c1ccccc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,1,5999
2238,C(COc1ccc(cc1)[C@H]2Oc3ccccc3S[C@H]2c4ccccc4)CN5CCCC5,c1ccc(C2Sc3ccccc3OC2c2ccc(OCCCN3CCCC3)cc2)cc1,1,388
4894,CC(=O)Nc1ccc(CCN2CCC(COc3nc4ccccc4c5cn(C)cc35)CC2)cc1,c1ccc(CCN2CCC(COc3nc4ccccc4c4c[nH]cc34)CC2)cc1,1,8042
489,CS(=O)(=O)Nc1ccc2OC3(CCN(CC3)C4CCc5cc(ccc5C4)C#N)CC(O)c2c1,c1ccc2c(c1)CCC(N1CCC3(CCc4ccccc4O3)CC1)C2,1,6650
1845,O=C(NC1CC1)C2=CN(c3cccc(c3)C#Cc4cccnc4)c5ncccc5C2=O,O=C(NC1CC1)c1cn(-c2cccc(C#Cc3cccnc3)c2)c2ncccc2c1=O,0,281
5357,CCOC(=O)N1CCC(CN2CC[C@@H](C2)N3C(=O)Cc4ccccc34)CC1,O=C1Cc2ccccc2N1C1CCN(CC2CCNCC2)C1,1,711
1002,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6NC(=O)COc6cc5CC4)n3C,O=C1COc2cc3c(cc2N1)CCN(CCCSc1nnc(-c2cccc4ncccc24)[nH]1)CC3,1,3516
2209,Clc1cccc(c1)N2CCN(CCN3[C@@H]4CCC[C@H]3CC4)C2=O,O=C1N(CCN2C3CCCC2CC3)CCN1c1ccccc1,0,5581
1962,CN(CC1CCOCC1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5,c1ccc(Cn2c(N3CCC(NCC4CCOCC4)CC3)nc3ccccc32)cc1,1,600
961,O=C(Nc1ccccc1c2cn3c(CN4CCNCC4)csc3n2)c5cnc6ccccc6n5,O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1,0,2496
5406,CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCCN4CC(C4)C#N)c5ccc(OC(F)F)cc35,c1ccc2c(c1)c(-c1cnc3[nH]ccc3n1)nn2CCCN1CCC1,1,7336
5322,CN1CCC(COCc2cc(cc(n2)N3CCC(C3)C#N)C(F)(F)F)(CC1)c4ccc(F)cc4,c1ccc(C2(COCc3cccc(N4CCCC4)n3)CCNCC2)cc1,0,5898
3152,CN[C@@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1,c1ccc(C2CCCc3ccccc32)cc1,0,6386
7940,CC(C)(O)c1nc(c[nH]1)c2ccc(OC(F)(F)F)cc2,c1ccc(-c2c[nH]cn2)cc1,0,1002
1596,CSc1ccc(cc1)c2cccc(c2)N3C=C(C(=O)NC(C)C)C(=O)c4cccnc34,O=c1ccn(-c2cccc(-c3ccccc3)c2)c2ncccc12,1,6739
2973,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C4CCCc5ccccc45)c1,c1ccc(OC2CC3CCC(C2)N3C2CCCc3ccccc32)cc1,1,2272
1377,CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)N(C)C)c(F)c3)ncc2F,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1,0,559
3254,COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CCc4cc5ccc(Cl)cc5[nH]4,c1ccc(CCN2CC(CCc3cc4ccccc4[nH]3)C(c3ccccc3)C2)cc1,1,7697
5009,NS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,0,6346
4015,CC[C@@]1([C@@H]2CN(CC3Cc4ccccc4C3)C[C@H]12)c5cccc(NS(=O)(=O)C)c5,c1ccc(C2C3CN(CC4Cc5ccccc5C4)CC32)cc1,1,1178
2494,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(C)nc4C,c1cncc(-c2ccc3cc(CCN4CCCC4)ccc3n2)c1,0,1527
5059,O[C@H](CNC(=O)N1C(=O)Nc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,O=C(NCCCN1CCC(Oc2ccccc2)CC1)n1c(=O)[nH]c2ccccc21,1,3247
2497,COc1ncc(cn1)c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2,c1ncc(-c2ccc3cc(CCN4CCCC4)ccc3n2)cn1,0,5900
4296,COc1c(cc(cc1C(C)(C)C)C(=O)NCC2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)C2)C(C)(C)C,O=C(NCC1CCN(CCCCCC(c2ccccc2)c2ccccc2)C1)c1ccccc1,1,1896
3730,Cn1cc(cn1)c2ccc3c(c2)[nH]c4c(cnc(NC(C5CC5)C6CC6)c34)C(=O)N,c1cc2[nH]c3cc(-c4cn[nH]c4)ccc3c2c(NC(C2CC2)C2CC2)n1,0,508
2613,CCCCC(N1CCOCC1)C(O)(c2cccnc2)c3cccnc3,c1cncc(C(CN2CCOCC2)c2cccnc2)c1,0,5392
8284,C[C@H]1CC[C@H](CN1C(=O)C2CC2)c3nc(c4ccc(cc4F)C(=O)Nc5cc(ccn5)C(F)(F)F)c6c(N)nccn36,O=C(Nc1ccccn1)c1ccc(-c2nc(C3CCCN(C(=O)C4CC4)C3)n3ccncc23)cc1,0,4300
6472,COc1cnc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)ccnc2c1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,2571
2657,CC(C)N(C)[C@@H]1CC[C@H](NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)[C@H](CS(=O)(=O)c3ccccc3)C1,O=C(CNC(=O)c1ccccc1)NC1CCCCC1CS(=O)(=O)c1ccccc1,0,3959
5704,O[C@H](COc1cc(O)c(Cl)cc1NC(=O)NC2CC2)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4,O=C(Nc1ccccc1OCCCN1CCC2(CC1)Cc1ccccc1O2)NC1CC1,1,6440
2869,NC(=O)c1cccc(C[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,c1ccc(CC2CC3CCC(C2)N3Cc2ccccc2)cc1,1,3365
6913,COc1ccc2nc(CN3CCC[C@H]3CO)n(Cc4ccc(Cl)cc4)c2c1,c1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,0,4759
4442,O=C1COc2ccccc2N1CCCN3CCC(CC3)N4C(=O)Nc5ccccc45,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,0,5481
2270,CCCOCCN1C(=O)C(=Nc2cnc(cc12)c3ccc(OC)nc3)NCCNCCO,O=c1cnc2cnc(-c3cccnc3)cc2[nH]1,0,6555
5471,CC1CCCN1C2CCN(C2)c3ccc(NC(=O)c4cc(F)ccc4C)c(C)c3,O=C(Nc1ccc(N2CCC(N3CCCC3)C2)cc1)c1ccccc1,1,6335
7132,Cc1ncoc1c2nnc(SCCCN3CC4CCN(C4C3)c5ccc(cc5)C(F)(F)F)n2C,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnco5)[nH]4)CC32)cc1,1,4348
2080,CN1CC[C@@H](C1)N(Cc2ccccc2C(F)(F)F)c3ccc(C#N)c(Cl)c3,c1ccc(CN(c2ccccc2)C2CCNC2)cc1,1,6162
4413,Fc1ccc(cc1)N(CCNCCc2ccccc2)c3ccc(F)cc3,c1ccc(CCNCCN(c2ccccc2)c2ccccc2)cc1,1,363
528,CCN(CC)CCNC(=O)c1cc(ccc1OC)S(=O)(=O)C,c1ccccc1,0,7847
2959,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccc5OCOc5c4)c1,c1ccc(OC2CC3CCC(C2)N3Cc2ccc3c(c2)OCO3)cc1,1,1401
3736,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c3c4ccc(cc4[nH]c13)c5cnc(N)nc5,c1ncc(-c2ccc3c(c2)[nH]c2ccnc(NCC4CC4)c23)cn1,0,114
1113,NCc1cccc(c1)C2CCN(CC2)C(=O)c3cc(cc(c3)c4onc(n4)c5cccs5)C(=O)N,O=C(c1cccc(-c2nc(-c3cccs3)no2)c1)N1CCC(c2ccccc2)CC1,0,7543
7888,CN1CCc2c(C1)sc3N(Cc4ccc(Cl)cc4)C(=O)n5ncnc5c23,O=c1n(Cc2ccccc2)c2sc3c(c2c2ncnn12)CCNC3,1,6256
601,Clc1ccc(cc1)c2nc(COc3ccccc3CN4CCCCCCC4)cs2,c1ccc(-c2nc(COc3ccccc3CN3CCCCCCC3)cs2)cc1,1,2181
4995,CNc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1Cl,c1ccc(Nc2cnccn2)nc1,1,6800
1056,CN1C2CCCC1CC(C2)NC(=O)c3nn(C)c4ccccc34,O=C(NC1CC2CCCC(C1)N2)c1n[nH]c2ccccc12,0,4202
3476,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)C(=O)N5CCOCC5,O=C(c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1)N1CCOCC1,0,6817
3047,O=C1C=C(OCc2ccccc2)C=CN1c3ccc4c(cnn4C[C@@H]5CCCN5)c3,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CC2CCCN2)c1,0,8010
4366,Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)c5ccc(cc5)c6ccn[nH]6)c7cc(O)ncn7,O=C1N(c2ccc(-c3ccc(-c4ccn[nH]4)cc3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1,0,6837
4411,C(CN(c1ccccc1)c2ccccc2)NCCc3ccccc3,c1ccc(CCNCCN(c2ccccc2)c2ccccc2)cc1,1,6002
2473,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccccc6)n3C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cccc5ncccc45)[nH]2)C3)cc1,1,844
4365,COc1cc(ncn1)N2C(=O)N(C(=O)C23CCN(Cc4ncccc4C)CC3)c5ccc(cc5)c6ccc(cc6)c7ccn[nH]7,O=C1N(c2ccc(-c3ccc(-c4ccn[nH]4)cc3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1,0,5721
1792,NC[C@@H]1C[C@@]1(C(=O)N(CC#C)CC#C)c2cccs2,c1csc(C2CC2)c1,0,2238
5048,CC(=O)NC1CC2CCC(C1)N2CCc3ccc(Oc4nc5ncccc5s4)cc3,c1cnc2nc(Oc3ccc(CCN4C5CCCC4CC5)cc3)sc2c1,0,4991
1120,CN(C)CCCn1nc(C2=C(C(=O)NC2=O)c3cn(c4ccc5ccccc5c4)c6ccccc36)c7ccccc17,O=C1NC(=O)C(c2cn(-c3ccc4ccccc4c3)c3ccccc23)=C1c1n[nH]c2ccccc12,1,7416
893,Cc1ncccc1c2nnc(SCCCN3CCc4ccc5oc(nc5c4CC3)C(F)(F)F)n2C,c1cncc(-c2nnc(SCCCN3CCc4ccc5ocnc5c4CC3)[nH]2)c1,0,2134
4891,Cc1cn(cn1)c2ccc(Nc3cccc4c3nc(c5ccc(F)cc5)n4C)cc2F,c1ccc(-c2nc3c(Nc4ccc(-n5ccnc5)cc4)cccc3[nH]2)cc1,0,2425
4595,CC1CN(CCc2ccc(cc2)[N+](=O)[O-])CCN1CCc3ccc(cc3)[N+](=O)[O-],c1ccc(CCN2CCN(CCc3ccccc3)CC2)cc1,1,1819
2840,Fc1ccc(cc1)[C@H]2CC(=NN2c3ccc(cc3)C#N)c4ccc5NC(=O)Oc5c4,O=c1[nH]c2ccc(C3=NN(c4ccccc4)C(c4ccccc4)C3)cc2o1,1,3403
271,O=C(C1CCCCC1)N2CC3N(CCc4ccccc34)C(=O)C2,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0,5442
1876,O=C1Cc2cncn2Cc3ccc(C#N)c(Oc4ccc5cccc(N6CC[C@@H](N1)C6=O)c5c4)c3,O=C1Cc2cncn2Cc2cccc(c2)Oc2ccc3cccc(c3c2)N2CCC(N1)C2=O,0,1978
6265,C[C@@H]1CN(CCN1c2ncc(OCc3ccc(CS(=N)(=O)C)cc3F)cn2)c4onc(n4)C(F)(F)F,c1ccc(COc2cnc(N3CCN(c4ncno4)CC3)nc2)cc1,0,869
7224,CN(Cc1ccc(OC2CN(C2)C(=O)c3oc(nn3)c4ccccc4)cc1)CC5(C)COC5,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CNCC3COC3)cc2)C1,0,2089
5781,CC(C)N1CCN(CC1)C(=O)[C@@H]2CC23CCN(CC3)C4CCOCC4,O=C(C1CC12CCN(C1CCOCC1)CC2)N1CCNCC1,0,1476
1509,CC1=Nc2c(cccc2C(F)(F)F)C(=O)N1c3ccc(OCCCN4CCCC4)cc3,O=c1c2ccccc2ncn1-c1ccc(OCCCN2CCCC2)cc1,1,7490
4847,Cc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,0,6017
7924,Cc1ccc(\C=C\C(=O)N2CCN(CC2)c3ccc(cc3)C(=O)Nc4ccccc4N)cc1,O=C(Nc1ccccc1)c1ccc(N2CCN(C(=O)C=Cc3ccccc3)CC2)cc1,0,7906
3193,Brc1cncc(c1)C(=O)N2CCC(NCc3cncn3Cc4ccc(cc4)C#N)C2=O,O=C(c1cccnc1)N1CCC(NCc2cncn2Cc2ccccc2)C1=O,0,4517
995,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)c7cc(C)nn7C)n3C,c1cc(-c2nnc(SCCCN3CCc4cc5nc(-c6ccn[nH]6)oc5cc4CC3)[nH]2)c2cccnc2c1,1,5074
4081,COc1cc(ccc1n2cnc(C)c2)c3cn(CC(=O)N([C@H](C)c4ccccc4)[C@H](C)c5ccccc5)nn3,O=C(Cn1cc(-c2ccc(-n3ccnc3)cc2)nn1)N(Cc1ccccc1)Cc1ccccc1,1,3911
4841,CN(C)c1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(C)c4Cl,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,0,4118
4619,Cl.COCc1ccc2c(c1)N(C)C(=O)c3c2nc(N4CCC[C@@H](N)C4)n3Cc5ccccc5Cl,O=c1[nH]c2ccccc2c2nc(N3CCCCC3)n(Cc3ccccc3)c12,0,7431
330,Clc1ccc(CO\N=C(/Cn2ccnc2)\c3ccc(Cl)cc3Cl)c(Cl)c1,c1ccc(CON=C(Cn2ccnc2)c2ccccc2)cc1,0,5699
6681,OCCOc1ccc2ncc(F)c(C[C@H](O)C34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,0,2453
2316,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc3ccc(CCC(=O)O)cc3,c1ccc(OCCCNCCc2ccc3ccccc3c2)cc1,1,8155
2198,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)NC4CCC4,O=S(=O)(NC1CCC1)c1ccc(-c2ccc(CCN3CCCC3)cc2)cc1,1,4004
1192,CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1,c1ccc2c(c1)Sc1ccccc1N2CC1CCCNC1,0,7670
