,Canonical_smiles,Murcko,ClassI,No
8104,Cc1c2COC(=O)c2ccc1[C@@H](O)CN3CCC4(CC3)CN(C4)c5ccc(cn5)C#N,O=C1OCc2cc(CCN3CCC4(CC3)CN(c3ccccn3)C4)ccc21,0,1
3441,ONC(=O)\C=C\c1ccc2CN(Cc2c1)C(=O)Cc3ccccc3,O=C(Cc1ccccc1)N1Cc2ccccc2C1,0,2
2028,Fc1ccc(cc1)S(=O)(=O)NC(=O)NC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2,O=C(NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)NS(=O)(=O)c1ccccc1,0,3
806,OC=O.Fc1cc(F)cc(c1)C(=O)N2CCN(C(=O)C2)c3ccc(OC4CCN(CC4)C5CCCC5)cc3,O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1,1,4
1558,OC(=O)C1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1,c1ccc2sc(Oc3ccc(CN4CCCCC4)cc3)nc2c1,0,5
7239,COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cn4,O=C(c1nnc(-c2ccccc2)o1)N1CCC(Oc2ccc(CN3CCCC3)cn2)CC1,0,6
3944,C[C@H]1CC(=O)NN=C1c2ccc(OC3CCN(CC3)C4CCC4)cc2,O=C1CCC(c2ccc(OC3CCN(C4CCC4)CC3)cc2)=NN1,0,7
642,CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)cc(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1,8
6181,CN1C[C@H](c2ccc3sccc3c2)c4ccc(cc4C1)N5CCOCC5,c1cc2cc(C3CNCc4cc(N5CCOCC5)ccc43)ccc2s1,1,9
4346,CC(C)N1CCO[C@@H](CN2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3)C1,O=C(Nc1ccccc1)N1CCN(CC2CNCCO2)CC1,1,10
5433,COc1ccc(cc1)C2(SCC(=N2)N)c3cccc(c3)c4cccnc4,C1=NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)SC1,1,11
5883,Cn1ccc(NC(=O)c2cc(OC(CF)CF)cc(Oc3ccc(cc3)C(=O)N4CCC4)c2)n1,O=C(Nc1cc[nH]n1)c1cccc(Oc2ccc(C(=O)N3CCC3)cc2)c1,0,12
2522,C(C(N1CCNCC1)c2ccccc2)c3cccc4CCOc34,c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,0,13
35,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,0,14
4256,CS(=O)(=O)Cc1cc(nc(n1)c2ccc3[nH]ccc3c2)N4CC5CCC(C4)O5,c1cc(N2CC3CCC(C2)O3)nc(-c2ccc3[nH]ccc3c2)n1,0,15
1297,Cc1cccc(NC(=O)c2oc(cc2)c3ccc(Cl)cc3)c1,O=C(Nc1ccccc1)c1ccc(-c2ccccc2)o1,0,16
8144,CCOC(=O)C1=C(CN2CCOCC2)NC(=N[C@@H]1c3ccc(F)cc3Br)c4nccs4,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,1,17
5310,CN1CCC(COCc2cc(cc(n2)C3CC3)C(F)(F)F)(CC1)c4cccc(F)c4,c1ccc(C2(COCc3cccc(C4CC4)n3)CCNCC2)cc1,1,18
3411,CC(C)(N)C(=O)N1CCn2c(C1)nc(c2Nc3ccc(F)c(F)c3)c4ccc(F)cc4,c1ccc(Nc2c(-c3ccccc3)nc3n2CCNC3)cc1,1,19
3016,COC[C@H]1CCCN1CCn2ncc3cc(ccc23)N4C=CC(=CC4=O)OCc5ccccc5,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CCN2CCCC2)c1,1,20
5820,Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccncc3)c2,O=C(Nc1cccc(NC(=O)c2ccncc2)c1)c1ccccc1,0,21
1510,CC1=Nc2cccc(c2C(=O)N1c3ccc(OCCCN4CCCC4)cc3)C(F)(F)F,O=c1c2ccccc2ncn1-c1ccc(OCCCN2CCCC2)cc1,1,22
627,COc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,1,23
963,CN(C)C(=O)C(N)c1ccc(cc1)C(=O)Nc2cc(ccc2N)c3cccs3,O=C(Nc1cccc(-c2cccs2)c1)c1ccccc1,1,24
5187,Cc1nocc1C(=O)Nc2ccc(c(N)n2)c3ccccc3OC(F)(F)F,O=C(Nc1ccc(-c2ccccc2)cn1)c1cnoc1,0,25
3206,CCC1=C(C)CC(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCC(C)CC3)C1=O,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)C2CC=CC2=O)cc1,0,26
4618,CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4ccccc4Cl)c5ccc(cc15)C#N,O=c1[nH]c2ccccc2c2nc(N3CCCCC3)n(Cc3ccccc3)c12,1,27
5578,OC(=O)c1ccc(Oc2ccc(CN3CCC(CC3)N4[C@@H](CN(C5CCOCC5)C4=O)c6ccccc6)cc2)cc1,O=C1N(C2CCOCC2)CC(c2ccccc2)N1C1CCN(Cc2ccc(Oc3ccccc3)cc2)CC1,0,28
6027,Cl.C(Oc1cccnc1)[C@H]2CNCCN2c3oc4cccnc4n3,c1cncc(OCC2CNCCN2c2nc3ncccc3o2)c1,0,29
3241,COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CNC(=O)c4cccc(Cl)c4,O=C(NCC1CN(CCc2ccccc2)CC1c1ccccc1)c1ccccc1,1,30
2845,CC[C@H](C)[C@@H](CO[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCS(=O)(=O)C)C(=O)OC(C)C)NC[C@@H](N)CS,c1ccccc1,0,31
5426,COc1cccc(c1)c2cccc(c2)C3(C)SCCC(=N3)N,C1=NC(c2cccc(-c3ccccc3)c2)SCC1,0,32
2053,CCN(CC)C(=O)c1ccc(cc1C)C2=CC3(CCNCC3)Oc4ccccc24,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1,33
6501,O[C@@]1(CC23CCC(CC2)(CO3)NCc4cc(Cl)c5OCCOc5c4Cl)CN6C(=O)C=Cc7ncc(F)c1c67,O=c1ccc2nccc3c2n1CC3CC12CCC(NCc3ccc4c(c3)OCCO4)(CC1)CO2,0,34
3332,COc1cc(F)ccc1c2cncc(c2)C3CCCN3,c1ccc(-c2cncc(C3CCCN3)c2)cc1,1,35
8115,COc1ccc(\C=C\C(=O)N2CCN(CC2)c3ccc(cc3)C(=O)Nc4ccccc4N)cc1,O=C(Nc1ccccc1)c1ccc(N2CCN(C(=O)C=Cc3ccccc3)CC2)cc1,0,36
7196,Cc1ncoc1c2nnc(SCCCN3CC4CCN(C4C3)c5ccccc5)n2C,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnco5)[nH]4)CC32)cc1,1,37
359,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,0,38
6160,COc1cnc2C=CC(=O)N(CCN3CCC(CC3)c4c[nH]c5ccc(cc45)C#N)c2c1,O=c1ccc2ncccc2n1CCN1CCC(c2c[nH]c3ccccc23)CC1,1,39
7031,CCOC(=O)[C@H]1[C@@H]2CN(C[C@H]12)C(=O)c3ccc(C[C@@H]4CC[C@@H](N4)[C@H](O)c5ccccc5)cc3,O=C(c1ccc(CC2CCC(Cc3ccccc3)N2)cc1)N1CC2CC2C1,1,40
7027,O[C@@H]([C@H]1CC[C@@H](Cc2ccc(cc2)C(=O)N3C[C@@H]4[C@H](C3)[C@H]4c5ocnn5)N1)c6ccccc6,O=C(c1ccc(CC2CCC(Cc3ccccc3)N2)cc1)N1CC2C(C1)C2c1nnco1,0,41
4994,COC(=O)c1cnc(Nc2cnc(C#N)c(O[C@@H]3CCNC3)n2)cc1N(C)C,c1ccc(Nc2cncc(OC3CCNC3)n2)nc1,0,42
3369,Cc1nc2ccccc2n1[C@H]3C[C@H]4CC[C@@H](C3)N4CCC5(CCN(CC5)C(=O)C(C)(C)C)c6ccccc6,c1ccc(C2(CCN3C4CCC3CC(n3cnc5ccccc53)C4)CCNCC2)cc1,1,43
3861,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)CCCO,c1ccc(-c2ccc(CCN3CCCC3)cc2)cc1,0,44
2341,CN(C(=O)c1c(C)onc1c2ccccc2Cl)c3ccc(Cl)cc3,O=C(Nc1ccccc1)c1conc1-c1ccccc1,0,45
112,OC(=O)C1CCn2c1ccc2C(=O)c3ccccc3,O=C(c1ccccc1)c1ccc2n1CCC2,0,46
7505,Cn1cnc(c1)S(=O)(=O)NCCN2CC3CN(CCCOc4ccc(cc4)C#N)CC(C2)O3,O=S(=O)(NCCN1CC2CN(CCCOc3ccccc3)CC(C1)O2)c1c[nH]cn1,0,47
3312,CCc1cccc(NC(=O)N2CCc3nc(nc(c3C2)c4ccccc4C)c5cnccc5C#N)c1,O=C(Nc1ccccc1)N1CCc2nc(-c3cccnc3)nc(-c3ccccc3)c2C1,1,48
7902,CN1N=C(C=CC1=O)N2CCC3(CCN(C[C@H](O)c4ccc5C(=O)OCc5c4C)CC3)C2=O,O=C1OCc2cc(CCN3CCC4(CC3)CCN(c3ccc(=O)[nH]n3)C4=O)ccc21,0,49
8152,COCc1cnc(nc1)N2CCC(CC2)[C@H]3C[C@H]3CCOc4cc(F)c(CC(=O)N5CCC5)c(F)c4,O=C(Cc1ccc(OCCC2CC2C2CCN(c3ncccn3)CC2)cc1)N1CCC1,1,50
4035,CN(C1CCN(Cc2ccc(cc2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)S(=O)(=O)C,O=C(Cc1ccccc1)NC1CCN(Cc2ccccc2)CC1,1,51
8075,CCOC(=O)C1=C(CN2CCCCC2C(=O)O)NC(=NC1c3ccc(F)cc3Br)c4nccs4,C1=C(CN2CCCCC2)NC(c2nccs2)=NC1c1ccccc1,1,52
1868,FC(F)(F)c1cccc(CN2CCC(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)c1,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,53
6837,NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)[C@H]3CC[C@H](O)C[C@@H]3C#N,c1ccc(Nc2ccn(C3CCCCC3)n2)cc1,0,54
5399,CC(=O)N1CCN(CCOc2ccc(cc2)C3(O)CCN(CC3)c4ccc5nnc(n5n4)C(F)(F)F)CC1,c1cc(C2CCN(c3ccc4nncn4n3)CC2)ccc1OCCN1CCNCC1,0,55
3517,Clc1ccc(cc1Cl)[C@@]23CCC[C@@H]2CNC3,c1ccc(C23CCCC2CNC3)cc1,1,56
423,CN1CCN(CC1)c2c(F)cc3C(=O)C(=CN(CCF)c3c2F)C(=O)O,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,0,57
1250,CN(C)S(=O)(=O)N(C)[C@@H]1CCCN2C(=O)C(=C(N=C12)C(=O)NCc3ccc(F)cc3)O,O=C(NCc1ccccc1)c1cc(=O)n2c(n1)CCCC2,0,58
6572,CCn1cc(cn1)[C@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)C7=NN(C)C(=O)O7,O=c1[nH]nc(C2(c3cn[nH]c3)NC(c3nc(-c4ccccn4)c[nH]3)Cc3c2[nH]c2ccccc32)o1,0,59
4031,Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,O=C(Nc1ccccc1)Nc1ccc(-c2csc3c(-c4cn[nH]c4)cncc23)cc1,1,60
5332,CN1CCC(COCc2cc(cc(n2)C3CC3)C(F)(F)F)(CC1)c4ccc(F)cc4,c1ccc(C2(COCc3cccc(C4CC4)n3)CCNCC2)cc1,0,62
677,Cc1nc(nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12)N4CCCC4,O=C(COc1ccccc1)Nc1ccc2nc(N3CCCC3)ncc2c1,1,63
4913,COc1ccc(cc1)C2(N=C(C)C(=N2)N)c3cccc(c3)c4cncnc4,C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1,0,64
1837,CC(C)(O)c1ccc(c[n+]1[O-])C#Cc2cccc(c2)N3C=C(C(=O)NC4CC4)C(=O)c5cccnc35,O=C(NC1CC1)c1cn(-c2cccc(C#Cc3ccc[nH+]c3)c2)c2ncccc2c1=O,0,65
3078,O=S(=O)(Cc1cc(nc(n1)c2ccccn2)N3CCOCC3)c4ccccc4,O=S(=O)(Cc1cc(N2CCOCC2)nc(-c2ccccn2)n1)c1ccccc1,0,66
225,CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],c1ccccc1,0,67
6755,COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)C4CCc5ccccc5N(Cc6ccccn6)C4=O,O=C1C(n2cc(-c3ccc(-n4ccnc4)cc3)nn2)CCc2ccccc2N1Cc1ccccn1,1,68
5453,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]4CC[C@H](C4)NCC(F)(F)F,c1cc2c(ncc3ncn(C4CCCC4)c32)[nH]1,0,69
8121,NC(=O)c1cn(nc1Nc2ccc(cc2)[C@H](O)C(F)(F)F)[C@H]3COCC[C@@H]3C#N,c1ccc(Nc2ccn(C3CCCOC3)n2)cc1,0,70
701,CN(C)Cc1ccc2C[C@H](CCc2c1)N(C)C(=O)c3ccc(nc3)c4ccc(Cl)cc4,O=C(NC1CCc2ccccc2C1)c1ccc(-c2ccccc2)nc1,1,71
3700,Cc1ccc(cn1)[C@@H]2CC[C@@H](CC2)N3CC(C3)NC(=O)CNc4nn(C)c5ccc(cc45)C(F)(F)F,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCC(c3cccnc3)CC2)C1,0,72
735,NC(=O)N1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6)c2)CC1,C(#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCNCC4)ccc2-3)cs1)COc1ccccc1,1,73
4448,Fc1cccc2N(CCCN3CCC(CC3)N4C(=O)Nc5ccccc45)C(=O)CCc12,O=C1CCc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,1,74
3690,CCOC(=O)[C@@H]1CC[C@@H](CC1)N2CC(C2)NC(=O)CNc3nn(C(=O)N)c4ccc(cc34)C(F)(F)F,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCCCC2)C1,0,75
4978,O[C@@]1(CC[C@H](CC1)N2CC(C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c4cccs4,O=C(CNC(=O)c1ccccc1)NC1CN(C2CCC(c3cccs3)CC2)C1,0,76
2835,NC(=O)c1cnc(c2cnc3c(Nc4ccc(cn4)C(F)(F)F)ccnc3n2)c(c1)C(F)(F)F,c1ccc(Nc2ccnc3nc(-c4ccccn4)cnc23)nc1,1,77
2616,FC(F)(F)c1cccc(c1)C(=O)NCC(=O)N[C@@H]2CCN(CCC3CCN(CC3)C(=O)c4ccccc4Cl)C2,O=C(CNC(=O)c1ccccc1)NC1CCN(CCC2CCN(C(=O)c3ccccc3)CC2)C1,1,78
593,O=C1C=C(Oc2c1cccc2c3cccc4c5ccccc5sc34)N6CCOCC6,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,0,79
5525,CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(CCO)CC4,c1ccc(Nc2ccnc3ccc(N4CCNCC4)cc23)cc1,0,80
488,COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1,c1ccc2c(c1)CC1NCCC23CCCCC13,0,81
6918,NC1=NC2(CO1)c3cc(ccc3OC4(CCC4)C25COC5)c6cncnc6,C1=NC2(CO1)c1cc(-c3cncnc3)ccc1OC1(CCC1)C21COC1,1,82
7159,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(F)cc4)nnc1C5=CC(=O)NC=C5,O=c1cc(-c2nnc(SCCCN3CC4CCN(c5ccccc5)C4C3)[nH]2)cc[nH]1,1,83
5589,COc1ccc(NC(=O)Cn2cc(CCNS(=O)(=O)c3ccc(OC)cc3)c4ccccc24)cc1,O=C(Cn1cc(CCNS(=O)(=O)c2ccccc2)c2ccccc21)Nc1ccccc1,0,84
5849,CC(C)N1CCCC(CN2C(=O)c3nn(cc3N=C2c4ccccc4C)c5ccc(F)cc5)C1,O=c1c2nn(-c3ccccc3)cc2nc(-c2ccccc2)n1CC1CCCNC1,1,85
479,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,0,86
2771,CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0,87
98,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,O=S(=O)(Nc1ncccn1)c1ccccc1,0,88
2755,FC(F)(F)c1ccc(NC(=O)CN2CCCN(Cc3nc4ccccc4[nH]3)CC2)cc1,O=C(CN1CCCN(Cc2nc3ccccc3[nH]2)CC1)Nc1ccccc1,1,89
7710,CC[C@@H](NC(=O)c1cc(C(=O)N2CCC[C@@H]2C)n3CCOCc13)c4ccc(C#N)c(Cl)c4,O=C(NCc1ccccc1)c1cc(C(=O)N2CCCC2)n2c1COCC2,1,90
998,CN1Cc2cc3CCN(CCCCSc4nnc(c5cccc6nc(C)ccc56)n4C)CCc3cc2C1=O,O=C1NCc2cc3c(cc21)CCN(CCCCSc1nnc(-c2cccc4ncccc24)[nH]1)CC3,0,91
6925,CC1(C)Oc2ccc(NC(=O)c3ccc(Cl)cn3)cc2C4(COC(=N4)N)C15COC5,O=C(Nc1ccc2c(c1)C1(COC=N1)C1(COC1)CO2)c1ccccn1,1,92
2746,Fc1ccc(O[C@@H]2CN[C@H](C2)C(=O)N3CCCN(CC3)C4CCC4)cc1,O=C(C1CC(Oc2ccccc2)CN1)N1CCCN(C2CCC2)CC1,1,93
1965,OCc1cc(Cl)ccc1NC(=O)NC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2,O=C(Nc1ccccc1)NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1,1,94
511,CCOc1cc(N)c(Cl)cc1C(=O)NCC2CN(Cc3ccc(F)cc3)CCO2,O=C(NCC1CN(Cc2ccccc2)CCO1)c1ccccc1,1,95
6491,O[C@@]1(CC23CCC(CC2)(CO3)NCc4cc5OCCSc5cn4)CN6C(=O)C=Cc7ncc(F)c1c67,O=c1ccc2nccc3c2n1CC3CC12CCC(NCc3cc4c(cn3)SCCO4)(CC1)CO2,0,96
2263,CC1(C)Cc2cccc(CN3CCC4(CC3)CCN(CC4)C(=O)c5ncccc5N)c2O1,O=C(c1ccccn1)N1CCC2(CCN(Cc3cccc4c3OCC4)CC2)CC1,1,97
530,Clc1ccc(cc1)C(=O)NCCN2CCOCC2,O=C(NCCN1CCOCC1)c1ccccc1,0,98
6295,CS(=O)(=O)c1ccc(c(F)c1)c2ccc3[nH]nc(c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2,c1ccc(-c2ccc3[nH]nc(-c4cncc(OC5CNCCC56CC6)n4)c3c2)cc1,1,99
7336,CC(C)CS(=O)(=O)n1ccc2c(cc(nc12)N3CCN(C)CC3)c4ccc(cc4)C(F)(F)F,c1ccc(-c2cc(N3CCNCC3)nc3[nH]ccc23)cc1,1,100
7596,OCCn1c2ccccc2c3ccnc(CN(CCCN4CCNCC4)C5CCCc6cccnc56)c13,c1cnc2c(c1)CCCC2N(CCCN1CCNCC1)Cc1nccc2c1[nH]c1ccccc12,1,101
2041,O=C(NC1CC1c2ccccc2)N3CCC(CC3)c4onc(n4)c5ccncc5,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccncc3)no2)CC1,1,102
1322,O=C(N1CCN(CC1)C2CCCC2)N3Cc4ccccc4C3,O=C(N1CCN(C2CCCC2)CC1)N1Cc2ccccc2C1,0,103
1839,OC(c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3c4ccc(cc4)C(F)(F)F)C(F)(F)F)C(F)(F)F,O=C(C1CC1c1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,1,104
7489,O=S(=O)(Cc1ccccc1)NCCN2CC3CN(CCCOc4ccc(cc4)C#N)CC(C2)O3,O=S(=O)(Cc1ccccc1)NCCN1CC2CN(CCCOc3ccccc3)CC(C1)O2,0,105
1906,Cc1cc(C)n(CC(NC(=O)NC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2)c5ccccc5)n1,O=C(NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)NC(Cn1cccn1)c1ccccc1,1,106
1935,C[C@H]1[C@H](Oc2ccccc2S1(=O)=O)c3ccc(OCCCN4CCCC4)cc3,O=S1(=O)CC(c2ccc(OCCCN3CCCC3)cc2)Oc2ccccc21,1,107
3280,CN1CCC[C@@H]1CN2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,O=c1c2ccccc2c(Cc2ccccc2)nn1CC1CCCN1,1,108
7292,OC1CCN(Cc2ccc(OC3CCN(CC3)C(=O)c4oc(nn4)c5ccccc5)cc2)C1,O=C(c1nnc(-c2ccccc2)o1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1,0,109
3804,Cc1nc2C(=O)N(CC(=O)O)Cc2c(c1CN)c3ccc(Cl)cc3Cl,O=C1NCc2c(-c3ccccc3)ccnc21,0,110
7403,COc1nn(cc1Nc2ncc(Cl)c(n2)c3cnn4ccccc34)C5CCN(CC5)C(=O)C,c1ccn2ncc(-c3ccnc(Nc4cnn(C5CCNCC5)c4)n3)c2c1,1,111
1859,O=C1Cc2cncn2Cc3ccc(C#N)c(Oc4ccc5cccc(N6CC[C@H](N1)C6=O)c5c4)c3,O=C1Cc2cncn2Cc2cccc(c2)Oc2ccc3cccc(c3c2)N2CCC(N1)C2=O,1,112
1407,CC1=Nc2cc(Cl)ccc2C(=O)N1c3ccc(OC4CCN(CC4)C5CCC5)cc3,O=c1c2ccccc2ncn1-c1ccc(OC2CCN(C3CCC3)CC2)cc1,1,113
3736,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c3c4ccc(cc4[nH]c13)c5cnc(N)nc5,c1ncc(-c2ccc3c(c2)[nH]c2ccnc(NCC4CC4)c23)cn1,0,114
452,COc1nc(C)nc(Cl)c1NC2=NCCN2,c1ncc(NC2=NCCN2)cn1,0,115
7679,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1c5ccc(cc5)C#N,c1ccc(-c2nnc(SCCCN3CCC4(CC4c4ccccc4)C3)[nH]2)cc1,1,116
3619,FC(F)(F)c1cccc(c1)C(=O)NCC(=O)NC2CN(C2)[C@@H]3CC[C@H](CC3)c4ccccc4,O=C(CNC(=O)c1ccccc1)NC1CN(C2CCC(c3ccccc3)CC2)C1,1,117
8324,C[C@H]1N(CCn2c1nnc2c3nc(C)ns3)C(=O)c4ccc(F)c(F)c4,O=C(c1ccccc1)N1CCn2c(nnc2-c2ncns2)C1,0,118
942,CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(c2)C4=CCCCC4,O=C(Nc1ccc(C2CCNCC2)cc1C1=CCCCC1)c1ncc[nH]1,1,119
6365,Cc1cc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)cnc2C(=O)N)nc(n1)n4nccn4,c1cc(Nc2cncc(NC3CCCCC3)c2)nc(-n2nccn2)n1,0,120
3362,CCC1COCC[C@@H]1N[C@@H]2CC[C@](C2)(C(C)C)C(=O)N3CCN(CC3)c4cc(ccn4)C(F)(F)F,O=C(C1CCC(NC2CCOCC2)C1)N1CCN(c2ccccn2)CC1,1,121
859,Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc(NC(=O)CCN5CCCCC5)c(F)c4)CC3,O=C(CCN1CCCCC1)Nc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccccc4o3)CC2)cc1,1,122
3600,Brc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccccc54)CC3)nc2N1,1,123
5795,CC(C)S(=O)(=O)N1CCC2(CCN(C2)C(=O)N3CCCN(CC3)C4CCC4)CC1,O=C(N1CCCN(C2CCC2)CC1)N1CCC2(CCNCC2)C1,0,124
773,C[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)[C@@H]2CC[C@H](CC2)NC(=O)C,O=C(CCC1CCCCC1)N1CCCC1,0,125
198,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4ccccc4)C(=O)C1=O,O=C1NCCN(C(=O)NC(C(=O)NC2C(=O)N3CCSC23)c2ccccc2)C1=O,0,126
7071,CC(CCNCC12CC3CC(CC(C3)C1)C2)Nc4c(F)cnc5cc(Cl)ccc45,c1ccc2c(NCCCNCC34CC5CC(CC(C5)C3)C4)ccnc2c1,1,127
6938,CC#Cc1cncc(c1)c2ccc3OCC4(COC4)C5(COC(=N5)N)c3c2,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1OCC21COC1,1,128
4070,Cc1nc(nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12)N4CCC(CC4)N5CCCC5,O=C(COc1ccccc1)Nc1ccc2nc(N3CCC(N4CCCC4)CC3)ncc2c1,1,129
6569,CN1N=C(OC1=O)[C@@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cn6)c7cn[nH]c7,O=c1[nH]nc(C2(c3cn[nH]c3)NC(c3nc(-c4ccccn4)c[nH]3)Cc3c2[nH]c2ccccc32)o1,0,130
4040,CN(C1CCN(Cc2ccc(cc2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)n4cnnn4,O=C(Cc1ccc(-n2cnnn2)cc1)NC1CCN(Cc2ccccc2)CC1,1,131
461,CCCOc1ccccc1C2=Nc3nn[nH]c3C(=O)N2,O=c1[nH]c(-c2ccccc2)nc2nn[nH]c12,0,132
3630,COc1cnccc1[C@@H]2CC[C@H](CC2)N3CC(C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F,O=C(CNC(=O)c1ccccc1)NC1CN(C2CCC(c3ccncc3)CC2)C1,1,133
1060,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O,c1ccccc1,0,134
