,Canonical_smiles,Murcko,ClassI,No
8242,CCOC(=O)C1=C(CN2CCOCC2C(=O)NC)NC(=NC1c3ccc(F)cc3Br)c4nccs4,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,1,3791
4407,Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)C5CCCCC5)c6cc(O)ncn6,O=C1N(c2ccc(C3CCCCC3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1,1,3792
3890,CCN(C)C(=O)c1ccc(cc1)[C@@H](N2CCN(Cc3cccnc3)CC2)c4cccc(NC(=O)C5CCC5)c4,O=C(Nc1cccc(C(c2ccccc2)N2CCN(Cc3cccnc3)CC2)c1)C1CCC1,0,3793
5487,CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3,c1ccc(Nc2ccnc(Nc3ccc(C4CCNCC4)cc3)n2)cc1,1,3794
4363,COc1cc(ncn1)N2C(=O)N(C(=O)C23CCN(Cc4ncccc4C)CC3)c5ccc(cc5)c6coc(c6)C(=O)O,O=C1N(c2ccc(-c3ccoc3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1,0,3795
6269,C[C@@H]1CN(CCN1c2ncc(OCc3ccc(cc3F)S(=O)(=O)C)cn2)C(=O)OC4(COC4)C(F)(F)F,O=C(OC1COC1)N1CCN(c2ncc(OCc3ccccc3)cn2)CC1,0,3796
7147,Clc1ccc(cc1)c2c[nH]c(n2)[C@H]3Cc4c([nH]c5ccccc45)[C@H](N3)C6CCOCC6,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(C4CCOCC4)N3)n2)cc1,1,3797
4053,CN([C@@H]1CCN(Cc2ccc(nc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,O=C(Cc1ccc(-n2cnnn2)cc1)NC1CCN(Cc2cccnc2)CC1,0,3798
7103,O[C@@H]([C@H]1CC[C@@H](Cc2ccc(NC(=O)CN3C=Nc4ccccc4C3=O)cc2)N1)c5ccccc5,O=C(Cn1cnc2ccccc2c1=O)Nc1ccc(CC2CCC(Cc3ccccc3)N2)cc1,1,3799
389,CCN(C(=O)C)c1cccc(c1)c2ccnc3c(cnn23)C#N,c1ccc(-c2ccnc3ccnn23)cc1,0,3800
672,COc1ccc2c(nc(C#N)c(c3cccc(F)c3)c2c1)n4cnc(C)c4,c1ccc(-c2cnc(-n3ccnc3)c3ccccc23)cc1,0,3802
6976,NC1=NC2(CO1)c3cc(ccc3OCC24CCC4)c5cncnc5,C1=NC2(CO1)c1cc(-c3cncnc3)ccc1OCC21CCC1,1,3803
4488,Cc1cnc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4,O=C(NC1COc2cccc(-c3cnccn3)c2C1)c1cccnc1,0,3804
7525,Cl.NC(=N)N\N=C\c1ccc(cc1)c2ccc(\C=N\Nc3ccccc3Cl)cc2,C(=NNc1ccccc1)c1ccc(-c2ccccc2)cc1,1,3805
2127,Cn1cnc(c1)C(=O)N(C[C@@H]2[C@H]3CN(CC4CC4)C[C@@H]23)Cc5cccc(OC(F)(F)F)c5,O=C(c1c[nH]cn1)N(Cc1ccccc1)CC1C2CN(CC3CC3)CC21,1,3806
