,Canonical_smiles,IC50(nM),ClassA,ClassB,ClassC,ClassD,ClassE,ClassI,ClassJ,No,Murcko
5527,COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCN(CC4)C(C)C,17000.0,0,0,,,,0,1,4736,c1ccc(Nc2cnnc3ccc(N4CCNCC4)cc23)cc1
2206,COc1cccc(c1)N2CCN(CCN(C)C[C@@]34CC[C@@H](CC3)C4(C)C)C2=O,1995.26,0,,,,,1,1,4737,O=C1N(CCNCC23CCC(CC2)C3)CCN1c1ccccc1
3928,CN(C)C(=O)c1ccc(cc1)C(=C2CCN(Cc3cscn3)CC2)c4ccccn4,18000.0,0,0,,,,0,1,4738,c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2ccccn2)cc1
6408,COc1ccc(cc1)C(=O)Oc2ccc(cc2)S(=O)(=O)C3(CCC4(CCNCC4)C3)C(=O)NO,63400.0,0,0,0,0,0,0,0,4739,O=C(Oc1ccc(S(=O)(=O)C2CCC3(CCNCC3)C2)cc1)c1ccccc1
1463,COC(=O)C(CCCN(C)CCCc1nc2ccccc2[nH]1)(C(C)C)c3ccc(Br)cc3,178.0,1,1,1,1,1,1,1,4740,c1ccc(CCCCNCCCc2nc3ccccc3[nH]2)cc1
3109,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CC1)OCc2ccc(Cl)cc2Cl)N(O)C=O)c3ncc(F)cn3,8000.0,0,,,,,1,1,4741,O=S(=O)(CCCCc1ncccn1)N1CCC(OCc2ccccc2)CC1
7074,CO[C@@H]1CN(CC2CCN(CC2)C(=O)NC(C)C)CC[C@@H]1NC(=O)c3cc(Cl)c(N)cc3OC,7551.0,0,,,,,1,1,4742,O=C(NC1CCN(CC2CCNCC2)CC1)c1ccccc1
186,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,9772.37,0,,,,,1,1,4743,c1ccc(Cc2ccccc2)cc1
3748,COc1cc(OC)cc(c1)C(=O)NCC2(CCN(CC3=Cc4ccccc4OC3(C)C)CC2)C#N,4730.0,0,,,,,1,1,4744,O=C(NCC1CCN(CC2=Cc3ccccc3OC2)CC1)c1ccccc1
6956,Cc1cnnc(c1)c2ccc3OC4(CCC4)C5(COC5)C6(COC(=N6)N)c3c2,10000.0,0,,,,,1,1,4745,C1=NC2(CO1)c1cc(-c3cccnn3)ccc1OC1(CCC1)C21COC1
6068,Nc1nc2ccc(Cl)cc2n1CC(O)c3cccc(Cl)c3Cl,33300.0,0,0,0,0,,0,0,4746,c1ccc(CCn2cnc3ccccc32)cc1
691,CCc1c(C)[nH]c2CCC\C(=N/NC(=O)Nc3ccccc3)\c12,21000.0,0,0,0,,,0,0,4747,O=C(NN=C1CCCc2[nH]ccc21)Nc1ccccc1
3461,ONC(=O)\C=C\c1ccc2CN(CCc3c[nH]c4ccccc34)Cc2c1,30000.0,0,0,0,,,0,0,4748,c1ccc2c(c1)CN(CCc1c[nH]c3ccccc13)C2
4468,CCCCOc1ccc(cc1)C(=O)N[C@@H]2COc3cccc(N4CCN(C)CC4)c3C2,6309.57,0,,,,,1,1,4749,O=C(NC1COc2cccc(N3CCNCC3)c2C1)c1ccccc1
7783,Fc1ccccc1COCCN2CC3CN(CCNS(=O)(=O)c4ccc(cc4)C#N)CC(C2)O3,31622.78,0,0,0,0,,0,0,4750,O=S(=O)(NCCN1CC2CN(CCOCc3ccccc3)CC(C1)O2)c1ccccc1
6952,NC1=NC2(CO1)c3cc(ccc3OC4(CCC4)C25COC5)c6cncc(F)c6,10000.0,0,,,,,1,1,4751,C1=NC2(CO1)c1cc(-c3cccnc3)ccc1OC1(CCC1)C21COC1
5715,N[C@H](COc1cccc2C=CC(=O)Nc12)CN3CCC4(CC3)Cc5cc(F)ccc5O4,1200.0,0,,,,,1,1,4752,O=c1ccc2cccc(OCCCN3CCC4(CC3)Cc3ccccc3O4)c2[nH]1
4061,Nc1ncnc(Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,1500.0,0,,,,,1,1,4753,c1ccc(Oc2ccc(Nc3ncncn3)cc2)cc1
353,CC1=CC(=O)N(O)C(=C1)C2CCCCC2,1000000.0,0,0,0,0,0,0,0,4754,O=c1cccc(C2CCCCC2)[nH]1
891,OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cnn(CC(=O)Nc5cccc(F)c5F)c4)nncc3c2,100000.0,0,0,0,0,0,0,0,4755,O=C(Cn1cc(Nc2nncc3cc(OCCCN4CCCC4)ccc23)cn1)Nc1ccccc1
855,Fc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc(cc4)C(=O)NCCN5CCC(F)(F)CC5)CC3,6300.0,0,,,,,1,1,4756,O=C(NCCN1CCCCC1)c1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccccc4o3)CC2)cc1
5492,C[C@H]1CCCN1[C@H]2CCN(C2)c3ccc(NC(=O)c4cc(F)ccc4C)c(C)c3,1100.0,0,,,,,1,1,4757,O=C(Nc1ccc(N2CCC(N3CCCC3)C2)cc1)c1ccccc1
4796,COc1ccc2N=CC(=O)N(CCN3CC[C@H](NCc4ccc5OCC(=O)Nc5n4)[C@@H](F)C3)c2c1,19000.0,0,0,,,,0,1,4758,O=C1COc2ccc(CNC3CCN(CCn4c(=O)cnc5ccccc54)CC3)nc2N1
6913,COc1ccc2nc(CN3CCC[C@H]3CO)n(Cc4ccc(Cl)cc4)c2c1,5000.0,0,,,,,1,1,4759,c1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
3248,COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CC(=O)Nc4cccc(Cl)c4,2.0,1,1,1,1,1,1,1,4760,O=C(CC1CN(CCc2ccccc2)CC1c1ccccc1)Nc1ccccc1
765,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc(nc4C)N5CCCC5,2600.0,0,,,,,1,1,4761,c1cc2nc(-c3cnc(N4CCCC4)nc3)ccc2cc1CCN1CCCC1
3668,CCOC(=O)[C@@H]1CC[C@@H](CC1)N2CC(C2)NC(=O)CNc3nn(C)c4ccc(cc34)C(F)(F)F,8000.0,0,,,,,1,1,4762,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCCCC2)C1
4892,Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3,32000.0,0,0,0,0,,0,0,4763,c1cnc(-c2ccc(C3CCCCC3)cc2)cn1
6524,COCC[C@@H]1C[C@@H](CC[C@@H]1NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)N(C)C(C)C,80000.0,0,0,0,0,0,0,0,4764,O=C(CNC(=O)c1ccccc1)NC1CCCCC1
3666,Cn1nc(NCC(=O)NC2CN(C2)[C@@H]3CC[C@@H](CC3)C#N)c4cc(ccc14)C(F)(F)F,24000.0,0,0,0,,,0,0,4765,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCCCC2)C1
4658,C1CCN(CC1)[C@@H]([C@H](N2CCCCC2)c3ccccc3)c4ccccc4,25118.86,0,0,0,,,0,0,4766,c1ccc(C(C(c2ccccc2)N2CCCCC2)N2CCCCC2)cc1
3351,CO[C@@H]1COCC[C@@H]1N(C)[C@@H]2CC[C@](C2)(C(C)C)C(=O)N3CCN(CC3)c4cc(ccn4)C(F)(F)F,17000.0,0,0,,,,0,1,4767,O=C(C1CCC(NC2CCOCC2)C1)N1CCN(c2ccccn2)CC1
4264,CNC(=O)c1ccc(cc1)c2ccc3C(=O)N(CCN4CCCC4)CCc3c2,29000.0,0,0,0,,,0,0,4768,O=C1c2ccc(-c3ccccc3)cc2CCN1CCN1CCCC1
1171,C(Oc1ccccc1)C#Cc2cc(cs2)c3n[nH]c4c3Cc5ccccc45,10000.0,0,,,,,1,1,4769,C(#Cc1cc(-c2n[nH]c3c2Cc2ccccc2-3)cs1)COc1ccccc1
2460,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(Cl)cc5)n2C,110.0,1,1,1,1,1,1,1,4770,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1
5345,O[C@H](COc1ccc(F)cc1)CN2CCN(Cc3ccc(Cl)c(Cl)c3)CC2,290.0,1,1,1,1,1,1,1,4771,c1ccc(CN2CCN(CCCOc3ccccc3)CC2)cc1
4544,CCN1CCC(CC1)Nc2ccc3NC(=O)C(=C(c4ccc(Cl)cc4)c5ncc[nH]5)c3c2,3367.0,0,,,,,1,1,4772,O=C1Nc2ccc(NC3CCNCC3)cc2C1=C(c1ccccc1)c1ncc[nH]1
5811,Nc1nc2[C@@H](CCc2s1)C(=O)Nc3ccc(C[C@@H]4CC[C@@H](N4)[C@H](O)c5ccc(F)cc5)cc3,5600.0,0,,,,,1,1,4773,O=C(Nc1ccc(CC2CCC(Cc3ccccc3)N2)cc1)C1CCc2scnc21
2593,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc(s4)c5ccccc5,340.0,1,1,1,1,1,1,1,4774,c1ccc(-c2ncc(-c3ccc4cc(CCN5CCCC5)ccc4n3)s2)cc1
7858,Cl.CN(C\C=C\c1ccc(cc1)c2ccccc2)Cc3ccc4CCCOc4c3,32100.0,0,0,0,0,,0,0,4775,C(=Cc1ccc(-c2ccccc2)cc1)CNCc1ccc2c(c1)OCCC2
3295,Cc1cnc(nc1)N2CCC(CC2)[C@H]3C[C@H]3CCOc4nc(C)cc(n4)C#N,4000.0,0,,,,,1,1,4776,c1cnc(OCCC2CC2C2CCN(c3ncccn3)CC2)nc1
6164,CN1CCN(Cc2ccc3nc(Nc4ccc(cn4)C(F)(F)F)[nH]c3c2)CC1,21500.0,0,0,0,,,0,0,4777,c1ccc(Nc2nc3ccc(CN4CCNCC4)cc3[nH]2)nc1
1892,FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)c5nnc[nH]5,1000.0,1,1,1,1,1,1,1,4778,O=C(C1CC1c1ccccc1)N1CCN(S(=O)(=O)c2cccc(-c3nnc[nH]3)c2)CC1
7130,Cn1c(SCCCN2CC3CCN(C3C2)c4c(F)cc(F)cc4F)nnc1c5cnccn5,501.19,1,1,1,1,1,1,1,4779,c1ccc(N2CCC3CN(CCCSc4nnc(-c5cnccn5)[nH]4)CC32)cc1
4651,CC(C)Oc1cc(n[nH]1)n2cnc3cnc(N[C@@H](C)c4ncc(F)cn4)nc23,32000.0,0,0,0,0,,0,0,4780,c1cnc(CNc2ncc3ncn(-c4cc[nH]n4)c3n2)nc1
2157,CS(=O)(=O)Nc1ccc2c(c1)nc3C[C@@H]([C@@H](N)Cn23)c4cc(F)c(F)cc4F.OC(=O)C(F)(F)F,2500.0,0,,,,,1,1,4781,c1ccc(C2CCn3c(nc4ccccc43)C2)cc1
1614,CNCc1ccc(F)cc1Oc2ccc(Cl)c(Cl)c2,3010.0,0,,,,,1,1,4782,c1ccc(Oc2ccccc2)cc1
4568,[O-][N+](=O)c1ccc(CCN2CCNCC2)cc1,190.0,1,1,1,1,1,1,1,4783,c1ccc(CCN2CCNCC2)cc1
6670,OC(=O)CCCCOc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,43500.0,0,0,0,0,0,0,0,4784,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1
6298,COc1ccc(CC(=O)N2CCC3(CC2)CN(C3)[C@@H]4CCc5cc(ccc45)c6cc(C)ncn6)c(c1)C(=O)N,47000.0,0,0,0,0,0,0,0,4785,O=C(Cc1ccccc1)N1CCC2(CC1)CN(C1CCc3cc(-c4ccncn4)ccc31)C2
1451,CCN1CCN(CC1)c2cc3[nH]c(S[C@@]4(C)CC[C@@H](CC4)c5oc(C)nn5)nc3cc2Cl,10000.0,0,,,,,1,1,4786,c1nnc(C2CCC(Sc3nc4ccc(N5CCNCC5)cc4[nH]3)CC2)o1
6904,C\C(=C/c1cccnc1)\c2nc3cc(C)c(C)cc3n2Cc4ccc(Cl)cc4,10000.0,0,,,,,1,1,4787,C(=Cc1nc2ccccc2n1Cc1ccccc1)c1cccnc1
8046,OC(=O)CC1CCC2(CCN(CC2)c3ccc(cn3)c4nc5cc(ccc5[nH]4)C(F)(F)F)O1,16000.0,0,0,,,,0,1,4788,c1ccc2[nH]c(-c3ccc(N4CCC5(CCCO5)CC4)nc3)nc2c1
6113,Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1c3ccc(F)cc3,7100.0,0,,,,,1,1,4789,C(#Cc1cn(-c2ccccc2)cn1)c1ccncc1
618,COc1ccc(CN2CCNCC2)c(OC)c1OC,1000000.0,0,0,0,0,0,0,0,4790,c1ccc(CN2CCNCC2)cc1
709,Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,57.54,1,1,1,1,1,1,1,4791,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1
1293,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)C(C)(C)C)n3C,794.33,1,1,1,1,1,1,1,4792,c1cc(-c2nnc(SCCCN3CCc4cc5ncoc5cc4CC3)[nH]2)c2cccnc2c1
5441,OC(=O)C[C@@H]1COc2cc3O[C@@H](COc3cc12)c4cccc(Cl)c4,30000.0,0,0,0,,,0,0,4793,c1ccc(C2COc3cc4c(cc3O2)OCC4)cc1
7263,COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cc4,11000.0,0,0,,,,0,1,4794,O=C(c1nnc(-c2ccccc2)o1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1
4024,COC[C@H](C)COCc1ccc(cc1)[C@@]2(O)CCNC[C@@H]2c3ccc(cc3C)c4ccccc4CCNC(=O)C,9000.0,0,,,,,1,1,4795,c1ccc(-c2ccc(C3CNCCC3c3ccccc3)cc2)cc1
7822,Fc1cc(F)cc(c1)N2CCC[C@@H]2c3cc(cc4C(=O)C=C(Oc34)N5CCOCC5)C(=O)N6CCOCC6,45000.0,0,0,0,0,0,0,0,4796,O=C(c1cc(C2CCCN2c2ccccc2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1
2607,C[C@H](Nc1nc(Nc2ncc(C)s2)cc(n1)N3CCOCC3)c4ccc(F)cn4,12000.0,0,0,,,,0,1,4797,c1ccc(CNc2nc(Nc3nccs3)cc(N3CCOCC3)n2)nc1
2446,Cc1ncoc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(C)(C)C)n2C,1000.0,1,1,1,1,1,1,1,4798,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1
3006,OC(=O)CCNC1CC[C@@]2(C1)Cc3ccccc3Cc4ccccc24,63095.73,0,0,0,0,0,0,0,4799,c1ccc2c(c1)Cc1ccccc1C1(CCCC1)C2
8333,CC[C@@H](NC(=O)c1cc(C(=O)N2CCC[C@@H]2C(F)(F)F)n3CCOCc13)c4ccc(nc4)C(F)(F)F,10000.0,0,,,,,1,1,4800,O=C(NCc1cccnc1)c1cc(C(=O)N2CCCC2)n2c1COCC2
229,COCCCC\C(=N/OCCN)\c1ccc(cc1)C(F)(F)F,3100.0,0,,,,,1,1,4801,c1ccccc1
3308,CC(C)c1cc(cc2nc(oc12)c3ccc(cc3)C(=O)NCC4CN(C(=O)O4)c5ccc(cn5)c6ccccc6C#N)C#N,1188.0,0,,,,,1,1,4802,O=C(NCC1CN(c2ccc(-c3ccccc3)cn2)C(=O)O1)c1ccc(-c2nc3ccccc3o2)cc1
2085,O=C1N(CCN2Cc3ccccc3C2)CCN1c4ccc5occc5c4,7943.28,0,,,,,1,1,4803,O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc2occc2c1
5056,O[C@H](CNC(=O)c1n[nH]c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,251.19,1,1,1,1,1,1,1,4804,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1n[nH]c2ccccc12
3150,CN[C@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccccc3C1,2320.0,0,,,,,1,1,4805,c1ccc(C2CCCc3ccccc32)cc1
194,Cc1cccc(Nc2ccccc2C(=O)O)c1C,1000000.0,0,0,0,0,0,0,0,4806,c1ccc(Nc2ccccc2)cc1
2820,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4,1000000.0,0,0,0,0,0,0,0,4807,c1ccc(C(OC2CC3CCC(C2)N3)c2ccccc2)cc1
1927,OCCCN(Cc1ccc(F)cc1)C(=O)CC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2,630.0,1,1,1,1,1,1,1,4808,O=C(CC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)NCc1ccccc1
4931,Fc1cncc(c1)c2cc(NC(=O)CCCN3CCCCC3)[nH]n2,15800.0,0,0,,,,0,1,4809,O=C(CCCN1CCCCC1)Nc1cc(-c2cccnc2)n[nH]1
668,CCN(CC)Cc1ccc2C[C@H](CCc2c1)N3CCN(CCC4CCCS4)CC3=O,13200.0,0,0,,,,0,1,4810,O=C1CN(CCC2CCCS2)CCN1C1CCc2ccccc2C1
2786,CC(Oc1ccc(cc1C(=O)N2CCN(CC2)c3ccc(cc3)C#N)S(=O)(=O)C)C(F)(F)F,1200.0,0,,,,,1,1,4811,O=C(c1ccccc1)N1CCN(c2ccccc2)CC1
7899,O=C1N(Cc2ccccc2)c3sc4CN(CC5CCOCC5)CCc4c3c6ncnn16,570.0,1,1,1,1,1,1,1,4812,O=c1n(Cc2ccccc2)c2sc3c(c2c2ncnn12)CCN(CC1CCOCC1)C3
2440,Cc1ccoc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C,199.53,1,1,1,1,1,1,1,4813,c1ccc(C23CC2CN(CCCSc2nnc(-c4ccco4)[nH]2)C3)cc1
1916,COCC1[C@@H]2CC[C@H]1CN(CCN3CCN(C3=O)c4cccc(Cl)c4)C2,1000.0,1,1,1,1,1,1,1,4814,O=C1N(CCN2CC3CCC(C3)C2)CCN1c1ccccc1
6640,COc1ccc(COC2=CC(=O)N(CC(=O)c3ccc(CN(C)C)cc3C)N=C2)nc1,16000.0,0,0,,,,0,1,4815,O=C(Cn1ncc(OCc2ccccn2)cc1=O)c1ccccc1
4617,Cl.CN1C(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc4cc(F)ccc4Cl)c5ccc(cc15)C(=O)O,10000.0,0,,,,,1,1,4816,O=c1[nH]c2ccccc2c2nc(N3CCCCC3)n(Cc3ccccc3)c12
2175,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4CCCCC4,1109.59,0,,,,,1,1,4817,O=S(=O)(c1ccc(-c2ccc(CCN3CCCC3)cc2)cc1)N1CCCCC1
2796,CC(C)COc1ccc(cc1C(=O)N2CCN(CC2)c3ccc(cc3F)C#N)S(=O)(=O)C,700.0,1,1,1,1,1,1,1,4818,O=C(c1ccccc1)N1CCN(c2ccccc2)CC1
297,CCN(CC)CCNC(=O)c1ccc(NC(=O)C)cc1,100000.0,0,0,0,0,0,0,0,4819,c1ccccc1
1901,Cl.Fc1ccc(cc1)C(=O)N2CCN(C(=O)C2)c3ccc(OC4CCN(CC4)C5CCC5)cc3,31622.78,0,0,0,0,,0,0,4820,O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C(=O)C1
6323,COCCCOc1cc(ccc1OC)C(=O)N(C[C@@H]2CNC[C@H]2OC(=O)NCc3ccccc3)C(C)C,13000.0,0,0,,,,0,1,4821,O=C(NCc1ccccc1)OC1CNCC1CNC(=O)c1ccccc1
7107,Cl.Cl.NC1(CCC1)c2cc(cc(c2)C(F)(F)F)C(=O)N[C@@H]3CCc4ccc(Oc5ccnc6NC(=O)CCc56)cc4C3,3100.0,0,,,,,1,1,4822,O=C1CCc2c(Oc3ccc4c(c3)CC(NC(=O)c3cccc(C5CCC5)c3)CC4)ccnc2N1
580,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc3cccc(Cl)c3C#N,3.0,1,1,1,1,1,1,1,4823,c1ccc(OCCCNCCc2ccc3ccccc3c2)cc1
4708,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,25118.86,0,0,0,,,0,0,4824,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1
2174,FC(F)(F)C1CCN(CCN2CCN(C2=O)c3cccc(Cl)c3)CC1,1258.93,0,,,,,1,1,4825,O=C1N(CCN2CCCCC2)CCN1c1ccccc1
264,OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3,1000000.0,0,0,0,0,0,0,0,4826,c1ccc(C(CCCN2CCCCC2)c2ccccc2)cc1
2443,Cc1cc(ccc1C23CC2CN(CCCSc4nnc(c5ocnc5C)n4C)C3)C(F)(F)F,398.11,1,1,1,1,1,1,1,4828,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1
6175,CCOC(=O)c1ccc(nc1)[C@@]2(N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(F)cc6)c7cnn(C)c7,1611.0,0,,,,,1,1,4829,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(c4cn[nH]c4)(c4ccccn4)N3)n2)cc1
6815,Cc1cc(Cl)cc2[nH]c(nc12)[C@@H](CNC(=O)c3c(Cl)cc(cc3Cl)n4cnc(C)n4)c5cccc(F)c5,3051.0,0,,,,,1,1,4830,O=C(NCC(c1ccccc1)c1nc2ccccc2[nH]1)c1ccc(-n2cncn2)cc1
4960,CNc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1C(=O)OC,5000.0,0,,,,,1,1,4831,c1ccc(Nc2cnccn2)nc1
4896,Cn1cc2c(OCC3CCN(CCc4ccc(CO)cc4)CC3)nc5ccccc5c2c1,10.0,1,1,1,1,1,1,1,4832,c1ccc(CCN2CCC(COc3nc4ccccc4c4c[nH]cc34)CC2)cc1
1760,CCN1CCN(CC1)c2cc3[nH]c(S[C@@]4(C)CC[C@@H](CC4)N5CCCC5=O)nc3cc2Cl,10000.0,0,,,,,1,1,4833,O=C1CCCN1C1CCC(Sc2nc3ccc(N4CCNCC4)cc3[nH]2)CC1
6110,Clc1ccc2OC=C(CC3SC(=O)NC3=O)C(=O)c2c1,135.0,1,1,1,1,1,1,1,4834,O=C1NC(=O)C(Cc2coc3ccccc3c2=O)S1
3022,CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1c2ccc(cc2)c3cccs3,63000.0,0,0,0,0,0,0,0,4835,c1csc(-c2ccc(C3CCNC3)cc2)c1
7417,CN(CCN1CC2CN(CCc3ccc(F)c(F)c3)CC(C1)O2)S(=O)(=O)c4ccc(cc4)C#N,31622.78,0,0,0,0,,0,0,4836,O=S(=O)(NCCN1CC2CN(CCc3ccccc3)CC(C1)O2)c1ccccc1
6691,N[C@H]1[C@@H](CNC1=O)Oc2ccc3ncc(F)c(CCC45CCC(CC4)(CO5)NCc6ccc7OCC(=O)Nc7n6)c3n2,39900.0,0,0,0,0,,0,0,4837,O=C1CC(Oc2ccc3nccc(CCC45CCC(NCc6ccc7c(n6)NC(=O)CO7)(CC4)CO5)c3n2)CN1
5206,COc1ccc(cc1)C#Cc2cccc(C#Cc3ccc(OC)cc3)[n+]2C,377.0,1,1,1,1,1,1,1,4838,C(#Cc1cccc(C#Cc2ccccc2)[nH+]1)c1ccccc1
7885,CCOC(=O)C1=C(CN2CCOCC2C(=O)O)NC(=NC1c3ccc(F)cc3Cl)c4nccs4,10000.0,0,,,,,1,1,4839,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1
6998,CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)C5CCN(CC6CCOCC6)CC5,2650.0,0,,,,,1,1,4840,O=C1c2ccc(C3CCN(CC4CCOCC4)CC3)cc2Cc2[nH]c3ccccc3c21
5520,CC(=O)Nc1cc(Nc2cc(NC3COC3)n4ncc(C#N)c4n2)ccc1C5CC5,33000.0,0,0,0,0,,0,0,4841,c1cc2nc(Nc3ccc(C4CC4)cc3)cc(NC3COC3)n2n1
2947,Cc1ccccc1CN2[C@@H]3CC[C@H]2C[C@@H](C3)Oc4cccc(c4)C(=O)N,0.62,1,1,1,1,1,1,1,4842,c1ccc(CN2C3CCC2CC(Oc2ccccc2)C3)cc1
4431,CC1(C)N(CCn2c(Nc3ccc(F)cc3)c(nc12)c4ccc(F)cc4)C(=O)CN,13400.0,0,0,,,,0,1,4843,c1ccc(Nc2c(-c3ccccc3)nc3n2CCNC3)cc1
5637,CC(C)c1nnc(C)n1[C@H]2C[C@H]3CC[C@@H](C2)N3CCC(CNC(=O)C4CC(F)(F)C4)c5ccccc5,10000.0,0,,,,,1,1,4844,O=C(NCC(CCN1C2CCC1CC(n1cnnc1)C2)c1ccccc1)C1CCC1
7883,NC(=O)c1ccc(N[C@H]2CCCNC2)c3cc([nH]c13)c4cccc(F)c4,7700.0,0,,,,,1,1,4845,c1ccc(-c2cc3c(NC4CCCNC4)cccc3[nH]2)cc1
4153,CCN(CC)CCCCNc1oc(nn1)c2ccc(NC(=O)c3ccccc3F)cc2,19952.62,0,0,,,,0,1,4846,O=C(Nc1ccc(-c2nnco2)cc1)c1ccccc1
5183,Cc1ccc(Cc2cc[n+](C)c(COc3ccc(C)cc3)c2)cc1.[O-]S(=O)(=O)C(F)(F)F,346.0,1,1,1,1,1,1,1,4847,c1ccc(Cc2cc[nH+]c(COc3ccccc3)c2)cc1
543,CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(CO)cc24,11481.54,0,0,,,,0,1,4848,c1ccc2c(c1)N=C(N1CCNCC1)c1ccsc1N2
3233,C[C@@H](NC(=O)Cc1ccc(cc1)C2CC2)c3ccc(OCC(F)(F)F)cn3,10000.0,0,,,,,1,1,4849,O=C(Cc1ccc(C2CC2)cc1)NCc1ccccn1
6993,Cc1noc(n1)[C@H]2C[C@@H]2C(=O)NCc3ccc(c4CCN(Cc34)C(=O)NC(C)(C)C)c5cccc(OC(F)(F)F)c5,2340.0,0,,,,,1,1,4850,O=C(NCc1ccc(-c2ccccc2)c2c1CNCC2)C1CC1c1ncno1
7961,CN1N=C(C=CC1=O)N2CCOC3(CCN(C[C@H](O)c4ccc5C(=O)OCc5c4C)CC3)C2=O,60000.0,0,0,0,0,0,0,0,4851,O=C1OCc2cc(CCN3CCC4(CC3)OCCN(c3ccc(=O)[nH]n3)C4=O)ccc21
4147,Fc1ccccc1C(=O)Nc2ccc(cc2)c3oc(NCCCN4CCC(F)(F)CC4)nn3,63095.73,0,0,0,0,0,0,0,4852,O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)cc1)c1ccccc1
3459,ONC(=O)\C=C\c1ccc2CN(Cc3ccccc3)Cc2c1,27500.0,0,0,0,,,0,0,4853,c1ccc(CN2Cc3ccccc3C2)cc1
4691,Cc1ccccc1C[C@H](N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O,25118.86,0,0,0,,,0,0,4854,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1
