,Canonical_smiles,IC50(nM),ClassA,ClassB,ClassC,ClassD,ClassE,ClassI,ClassJ,No,Murcko
1574,Cc1ncccc1C(=O)N2CC[C@H](NCc3cncn3Cc4ccc(cc4)C#N)C2=O,10000.0,0,,,,,1,1,2025,O=C(c1cccnc1)N1CCC(NCc2cncn2Cc2ccccc2)C1=O
5215,COc1ccc(cc1)C(CCCN)(c2ccccc2)c3ccccc3,6600.0,0,,,,,1,1,2026,c1ccc(C(c2ccccc2)c2ccccc2)cc1
1169,CC1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6)c2)CC1,80.0,1,1,1,1,1,1,1,2027,C(#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCCCC4)ccc2-3)cs1)COc1ccccc1
5541,OC(=O)CC1CCC(CC1)c2ccc(cc2)c3nc4cc(NC(=O)c5nc(oc5C(F)(F)F)c6ccccc6)ccc4[nH]3,100000.0,0,0,0,0,0,0,0,2028,O=C(Nc1ccc2[nH]c(-c3ccc(C4CCCCC4)cc3)nc2c1)c1coc(-c2ccccc2)n1
3655,CCN\C(=N/S(=O)(=O)c1cccc(Cl)c1)\N2CC(CC)C=N2,10000.0,0,,,,,1,1,2029,O=S(=O)(N=CN1CCC=N1)c1ccccc1
7519,CC(=O)NC1CCC(CC1)c2nnc(SCCCN3CC[C@]4(C[C@@H]4c5ccc(cc5)C(F)(F)F)C3)n2C,6918.31,0,,,,,1,1,2030,c1ccc(C2CC23CCN(CCCSc2nnc(C4CCCCC4)[nH]2)C3)cc1
4809,O=C1C=Cc2ccc(cc2N1CCN3CCC(CC3)NCc4cc5OCCOc5cn4)C#N,39000.0,0,0,0,0,,0,0,2031,O=c1ccc2ccccc2n1CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1
4361,COc1cc(ncn1)N2C(=O)N(C(=O)C23CCN(Cc4ncccc4C)CC3)c5ccc(cc5)c6ccc(s6)C(=O)O,12000.0,0,0,,,,0,1,2032,O=C1N(c2ccc(-c3cccs3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1
3036,CN(C)CCCn1ncc2cc(ccc12)N3C=CC(=CC3=O)OCc4ccccc4,1400.0,0,,,,,1,1,2033,O=c1cc(OCc2ccccc2)ccn1-c1ccc2[nH]ncc2c1
8311,CC[C@H](NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)n3CCOCc13)c4ncccn4,10000.0,0,,,,,1,1,2034,O=C(NCc1ncccn1)c1cc(C(=O)NCc2ccccc2)n2c1COCC2
2581,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5csc(C)n5,12400.0,0,0,,,,0,1,2035,c1nc(-c2nc(-c3ccc4cc(CCN5CCCC5)ccc4n3)cs2)cs1
7294,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CC6(COC6)C5)cc4,22000.0,0,0,0,,,0,0,2036,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(COC4)C3)cc2)C1
312,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]12,1000000.0,0,0,0,0,0,0,0,2037,C1=CC2=CCCCC2CC1
3724,Cc1cccc(Nc2nc(N[C@@H]3COC[C@@H]3N)ncc2C(=O)N)c1,3981.07,0,,,,,1,1,2038,c1ccc(Nc2ccnc(NC3CCOC3)n2)cc1
840,CN(C1CCCCC1)C(=O)CC[C@@H](C2CCCCC2)N3Cc4cc(Oc5ccccc5)ccc4N=C3N,84.0,1,1,1,1,1,1,1,2039,O=C(CCC(C1CCCCC1)N1C=Nc2ccc(Oc3ccccc3)cc2C1)NC1CCCCC1
7410,Cc1nn(C2CCN(CCO)CC2)c(C)c1Nc3ncc(Cl)c(n3)c4cnn5ccccc45,9300.0,0,,,,,1,1,2040,c1ccn2ncc(-c3ccnc(Nc4cnn(C5CCNCC5)c4)n3)c2c1
6875,O=C(N1CC(C1)Oc2ccc(CN3CC4(CCOC4)C3)cc2)c5oc(nn5)c6ccccc6,16000.0,0,0,,,,0,1,2041,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(CCOC4)C3)cc2)C1
7613,CS(=O)(=O)NCCN1CC2CN(CCOc3ccc(cc3)C#N)CC(C1)O2,31622.78,0,0,0,0,,0,0,2042,c1ccc(OCCN2CC3CNCC(C2)O3)cc1
8009,Cc1c2COC(=O)c2ccc1[C@@H](O)CN3CCC4(CC3)CN(C(=O)C4)c5cncc(c5)C#N,1800.0,0,,,,,1,1,2043,O=C1OCc2cc(CCN3CCC4(CC3)CC(=O)N(c3cccnc3)C4)ccc21
1029,Cc1oc(nc1CCOc2cccc(C[C@H]3[C@H](N(C3=O)c4ccc(cc4)C(C)(C)C)C(=O)O)c2)c5ccc(Cl)cc5,1300.0,0,,,,,1,1,2044,O=C1C(Cc2cccc(OCCc3coc(-c4ccccc4)n3)c2)CN1c1ccccc1
2102,FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)C4=CNC(=O)C(=C4)Cl)c2,19600.0,0,0,,,,0,1,2045,O=C(NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1)c1ccc(=O)[nH]c1
1204,CC(=O)C1=NN2[C@@H](COc3ccc(C)cc23)[C@@]1(CCCN4CCOCC4)c5ccccc5,6300.0,0,,,,,1,1,2046,C1=NN2c3ccccc3OCC2C1(CCCN1CCOCC1)c1ccccc1
6447,COc1nc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c(F)cnc2cc1F,0.73,1,1,1,1,1,1,1,2047,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1
7287,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN(C)C)c(F)c4,15000.0,0,0,,,,0,1,2048,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccccc2)C1
7692,C[C@@H]1Oc2ccc(cc2[C@]3(COC(=N)N3)C14COC4)c5cccnc5F,10000.0,0,,,,,1,1,2049,N=C1NC2(CO1)c1cc(-c3cccnc3)ccc1OCC21COC1
5702,COc1ccc(CNC(=O)c2cc(cnc2c3cccnc3)c4cc(Cl)cc(Cl)c4)cc1OC,6950.0,0,,,,,1,1,2050,O=C(NCc1ccccc1)c1cc(-c2ccccc2)cnc1-c1cccnc1
3,CN(C)CCCN1c2ccccc2CCc3ccccc13,3388.44,0,,,,,1,1,2051,c1ccc2c(c1)CCc1ccccc1N2
3775,CC(C)Cc1cc(nn1c2ccccc2)C(=O)NCC3(CCN(Cc4ccccc4C(F)(F)F)CC3)C#N,4760.0,0,,,,,1,1,2052,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccn(-c2ccccc2)n1
6719,Fc1cnc2ccc(OC3CCC3)nc2c1CCC45CCC(CC4)(CO5)NCc6ccc7OCC(=O)Nc7n6,500.0,1,1,1,1,1,1,1,2053,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(OC7CCC7)nc56)(CC3)OC4)nc2N1
3477,COc1cc(CC(=O)N2CCOCC2)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,8800.0,0,,,,,1,1,2054,O=C(Cc1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1)N1CCOCC1
2631,CN1C(=O)C(=Cc2cnn(c12)c3c(F)cccc3F)c4cc(ccc4C)C(=O)NC5CC5,36000.0,0,0,0,0,,0,0,2055,O=C(NC1CC1)c1cccc(-c2cc3cnn(-c4ccccc4)c3[nH]c2=O)c1
